System;Stern;Entfernung zur Erde (LJ)
61 Cygni;61 Cygni A (BD+38°4343);11.4000000000
61 Cygni;61 Cygni B (BD+38°4344);11.4000000000
Alpha Centauri;Alpha Centauri A (Rigil Kentaurus, Toliman);4.3600000000
Alpha Centauri;Alpha Centauri B (HD 128621);4.3600000000
Barnards Pfeilstern (BD+04°3561a);Barnards Pfeilstern (BD+04°3561a);5.9600000000
Luyten 726-8;BL Ceti (L 726-8 A);8.7200000000
DX Cancri (G051-015);DX Cancri (G051-015);11.8200000000
Epsilon Eridani (BD-09°697);Epsilon Eridani (BD-09°697);10.5200000000
Epsilon Indi (CP-57°10015);Epsilon Indi (CP-57°10015);11.8200000000
GJ 1002;GJ 1002;15.3100000000
GJ 1061 (LHS 1565);GJ 1061 (LHS 1565);11.9200000000
GJ 1245 (V1581 Cygni);GJ 1245 A;14.8100000000
GJ 1245 (V1581 Cygni);GJ 1245 B;14.8100000000
GJ 1245 (V1581 Cygni);GJ 1245 C;14.8100000000
GJ 380;GJ 380;15.8500000000
GJ 388;GJ 388;15.9400000000
GJ 412;GJ 412 A;15.8300000000
GJ 440 (WD 1142-645);GJ 440 (WD 1142-645);15.0600000000
GJ 832;GJ 832;16.0800000000
Gl 1 (CD-37°15492);Gl 1 (CD-37°15492);14.2200000000
Ross 614;Gl 234 B (V577 Monocerotis);13.3400000000
Wolf 424;Gl 473 B (FL Virginis);14.3000000000
Gl 628 (Wolf 1061, BD-12°4523);Gl 628 (Wolf 1061, BD-12°4523);13.8100000000
Gl 674 (LHS 449);Gl 674 (LHS 449);14.8100000000
Gl 687 (LHS 450, BD+68°946);Gl 687 (LHS 450, BD+68°946);14.7900000000
EZ Aquarii (Luyten 789-6);Gl 866 A;11.2600000000
EZ Aquarii (Luyten 789-6);Gl 866 B;11.2600000000
EZ Aquarii (Luyten 789-6);Gl 866 C;11.2600000000
Gliese 876;Gliese 876;15.3400000000
Groombridge 34 (GJ 15);Groombridge 34 A (GX Andromedae);11.6240000000
Groombridge 34 (GJ 15);Groombridge 34 B (GQ Andromedae);11.6240000000
Kapteyns Stern (CD-45°1841);Kapteyns Stern (CD-45°1841);12.7700000000
Kruger 60;Kruger 60 A (BD+56°2783);13.1400000000
Kruger 60;Kruger 60 B (DO Cephei);13.1400000000
Lacaille 8760 (AX Microscopium);Lacaille 8760 (AX Microscopium);12.8600000000
Lacaille 9352 (CD-36°15693);Lacaille 9352 (CD-36°15693);10.7400000000
Lalande 21185 (BD+36°2147);Lalande 21185 (BD+36°2147);8.2900000000
LHS 288 (Luyten 143-23);LHS 288 (Luyten 143-23);15.9400000000
LHS 292 (LP 731-58);LHS 292 (LP 731-58);14.8100000000
LP 944-20;LP 944-20;16.1900000000
Luytens Stern (BD +5° 1668);Luytens Stern (BD +5° 1668);12.3600000000
Prokyon (Alpha Canis Minoris);Prokyon A;11.4000000000
Prokyon (Alpha Canis Minoris);Prokyon B;11.4000000000
Alpha Centauri (?);Proxima Centauri (V645 Centauri);4.2400000000
Ross 128 (FI Virginis);Ross 128 (FI Virginis);10.9100000000
Ross 154 (V1216 Sagittarii);Ross 154 (V1216 Sagittarii);9.6800000000
Ross 248 (HH Andromedae);Ross 248 (HH Andromedae);10.3200000000
Ross 614;Ross 614 (LHS 1849);13.3400000000
SCR 1845-6357;SCR 1845-6357;12.6000000000
SIPS 1259-4336;SIPS 1259-4336;11.8000000000
Sirius;Sirius A (Alpha Canis Majoris);8.5800000000
Sirius;Sirius B;8.5800000000
Sonnensystem;Sonne;0.0000160000
SSPM J1549-3544;SSPM J1549-3544;13.0000000000
Struve 2398 (Gl 725, BD +59° 1915);Struve 2398 A (HD 173739);11.3000000000
Struve 2398 (Gl 725, BD +59° 1915);Struve 2398 B (HD 173740);11.3000000000
Tau Ceti;Tau Ceti (BD?16°295);11.8900000000
Teegardens Stern (SO025300.5+165258);Teegardens Stern (SO025300.5+165258);12.5100000000
TZ Arietis (GJ 83.1, Luyten 1159-16);TZ Arietis (GJ 83.1, Luyten 1159-16);14.5100000000
Luyten 726-8;UV Ceti (L 726-8 B);8.7200000000
Van Maanens Stern (Gl 35, LHS 7);Van Maanens Stern (Gl 35, LHS 7);14.0600000000
Wolf 359 (CN Leonis);Wolf 359 (CN Leonis);7.7800000000
Wolf 424;Wolf 424 A (LHS 333);14.3000000000
GJ 412;WX Ursae Majoris;15.8300000000
YZ Ceti (LHS 138);YZ Ceti (LHS 138);12.1300000000
