Primary planet name;Star name;Description
YBP1514 b;YBP1514;YBP1514 is a main sequence star in the open star cluster M67. It hosts a 0.4 Jupiter mass planet. The star cluster is between 3.2 and 5 billion years old and contains many stars with ages and compositions similar to that of our own Sun.
YBP1194 b;YBP1194;The star YBP1194 is one of the best solar twins identified so far. Its composition and age is very similar to that of our own Sun. It is located in the star cluster M67 and hosts a 0.34 Jupiter mass planet. The frequency of massive planets around stars of open clusters such as M67 turns out to be very similar to that of field stars.
XO-5 b;XO-5;N/A
XO-4 b;XO-4;N/A
XO-3 b;XO-3;N/A
XO-2S c;XO-2S;The planet XO-2S c is part of a multiplanetary system. The host star itself is part of a binary system. The other binary star, XO-2N also hosts a planet. This configuration makes the system a unique laboratory for understanding the diversity of planetary systems.
XO-2S b;XO-2S;The planet XO-2S c is part of a multiplanetary system. The host star itself is part of a binary system. The other binary star, XO-2N also hosts a planet. This configuration makes the system a unique laboratory for understanding the diversity of planetary systems.
XO-2N b;XO-2N;N/A
XO-1 b;XO-1;N/A
xi Aql b;xi Aql;xi Aql is a giant star in the constellation of Aquila.
WTS-2 b;WTS-2;WTS-2 b is an unusually close hot Jupiter on a 1.02-day orbit around a K2V star. The planet is close to the tidal destruction radius of the star and has a predicted remaining lifetime of only 40 million years.
WTS-1 b;WTS-1;The Hot Jupiter WTS-1 b is the first extrasolar planet found by the WFCAM Transit Survey. The observations were made at the 3.8-m United Kingdom Infrared Telescope and the Hobby-Eberly Telescope. The planet has one of the largest radius anomalies among the known Hot Jupiters its mass range.
WD 0806-661 B;WD 0806-661;N/A
WASP-117 b;WASP-117;WASP-117b is a Hot Saturn on an eccentric and misaligned orbit. This is the first planet with a period beyond 10 days found by the WASP survey. Because of its large orbital separation tidal forces are weak and have had little impact on the evolution of the system.
WASP-112 b;WASP-112;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-111 b;WASP-111;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-110 b;WASP-110;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-109 b;WASP-109;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-108 b;WASP-108;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-106 b;WASP-106;The transiting exoplanet WASP-106 b is just slightly larger than Jupiter. The orbital solution is consistent with zero eccentricity, which is interesting because many other similar planets are known to have eccentric orbits. The planet was discovered by the WASP survey.
WASP-104 b;WASP-104;The transiting exoplanet WASP-104 b is just slightly larger than Jupiter. It was discovered by the WASP survey.
WASP-103 b;WASP-103;WASP-103 b is an ultra-short period jupiter sized planet at the edge of disruption.
WASP-101 b;WASP-101;This is a hot Jupiter discovered by the WASP team.
WASP-100 b;WASP-100;This is a hot Jupiter discovered by the WASP team.
WASP-99 b;WASP-99;This is a hot Jupiter discovered by the WASP team.
WASP-98 b;WASP-98;This is a hot Jupiter discovered by the WASP team.
WASP-97 b;WASP-97;This is a hot Jupiter discovered by the WASP team.
WASP-96 b;WASP-96;This is a hot Jupiter discovered by the WASP team.
WASP-95 b;WASP-95;This is a hot Jupiter discovered by the WASP team.
WASP-94 B b;WASP-94 B;WASP-95 B b is a Hot Jupiter orbiting an F-star in a binary system. The planet was confirmed using radial velocity measurements. No transit has been detected yet. The other binary component, WASP-94 A also hosts a hot Jupiter.
WASP-94 A b;WASP-94 A;WASP-94 A b is a Hot Jupiter orbiting an F-star in a binary system. The other binary component WASP-94 B also hosts a Hot Jupiter, making this system an ideal test-bed to explore planet formation scenarios. The planet's orbit is misaligned with the host star rotation axis.
WASP-90 b;WASP-90;This hot Jupiter has been discovered by the WASP transit survey and confirmed by radial velocity measurements. It is one of the most irradiated planets known. The host star is evolved and has a post main sequence radius.
WASP-89 b;WASP-89;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements and is a good target for an extensive study of transits of star spots.
WASP-88 b;WASP-88;WASP-88 b is a Hot Jupiter discovered by the WASP transit survey. The planet joins a handful of planets with super-inflated radii.
WASP-87 b;WASP-87;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-85 A b;WASP-85 A;WASP-85 A b is a transiting hot Jupiter. WASP-85 is a binary system that lies in the Kepler K2 Campaign 1.
WASP-84 b;WASP-84;WASP-84 b is a sub-Jupiter mass planet in an 8.5 day orbit. Of the transiting planets discovered from the ground, WASP-84 b has the third longest period.
WASP-83 b;WASP-83;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-82 b;WASP-82;This hot Jupiter has been discovered by the WASP transit survey and confirmed by radial velocity measurements. It is one of the most irradiated planets known. The host star is evolved and has a post main sequence radius.
WASP-80 b;WASP-80;WASP-80 b is a Jupiter-sized exoplanet but it has only half of Jupiter's mass. It has a transit depth of 3 percent, one of the largest reported so far.
WASP-79 b;WASP-79;WASP-79b is a highly bloated Jupiter-mass exoplanet. It is orbiting an F-type star and was discovered and analyzed using WASP, TRAPPIST and CORALIE data. WASP-79b is about twice as big as Jupiter, but its mass is smaller than that of Jupiter.
WASP-78 b;WASP-78;WASP-78b is a highly bloated Jupiter-mass exoplanet. It is orbiting an F-type star and was discovered and analyzed using WASP, TRAPPIST and CORALIE data. It is one of the hottest known exoplanets with an equilibrium temperature of 2350 degrees Kelvin.
WASP-77 A b;WASP-77 A;WASP-77 A b is a transiting Hot Jupiter (a planet similar to Jupiter but with an orbit much closer to the host star). It is orbiting a moderately bright G8 V star which is part of a visual binary. The binary has a separation of 3 arcseconds.
WASP-76 b;WASP-76;This hot Jupiter has been discovered by the WASP transit survey and confirmed by radial velocity measurements. It is one of the most irradiated planets known. The host star is evolved and has a post main sequence radius.
WASP-75 b;WASP-75;WASP-75 b is a transiting Hot Jupiter. Its radius is slightly inflated as compared to theoretical planet models with no core.
WASP-74 b;WASP-74;This planet has been announced in 2014 by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-73 b;WASP-73;The planet WASP-73 b has a high mean density. This suggests it is enriched in heavy elements.
